Task 00001 Time:115ms
Task 00002 Time:20ms
Task 00003 Time:22ms
Task 00005 Time:11ms
Task 00006 Time:13ms
Task 00003 Time:1273190ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00005 Time:2807ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:364118ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:64455ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:92954ms nrAxioms: 3 sizeLargestInferencePremise: 2 nrRuleApplications: 3: true
Task 00005 Time:15367ms nrAxioms: 3 sizeLargestInferencePremise: 2 nrRuleApplications: 3: true
Task 00003 Time:113460ms nrAxioms: 3 sizeLargestInferencePremise: 2 nrRuleApplications: 3: true
Task 00003 Time:1557263ms nrAxioms: 3 sizeLargestInferencePremise: 2 nrRuleApplications: 3: true
Task 00003 Time:546173ms nrAxioms: 3 sizeLargestInferencePremise: 2 nrRuleApplications: 3: true
Task 00003 Time:5996ms nrAxioms: 23 sizeLargestInferencePremise: 4 nrRuleApplications: 27: true
Task 00005 Time:9ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00001 Time:192ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00002 Time:8ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:5913ms nrAxioms: 23 sizeLargestInferencePremise: 4 nrRuleApplications: 27: true
Task 00005 Time:7ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00008 Time:133ms nrAxioms: 15 sizeLargestInferencePremise: 3 nrRuleApplications: 18: true
Task 00009 Time:119ms nrAxioms: 25 sizeLargestInferencePremise: 4 nrRuleApplications: 27: true
Task 00011 Time:142ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00012 Time:24ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00001 Time:335ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00003 Time:5878ms nrAxioms: 23 sizeLargestInferencePremise: 4 nrRuleApplications: 27: true
Task 00005 Time:20ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00000 Time:109ms nrAxioms: 15 sizeLargestInferencePremise: 2 nrRuleApplications: 15: true
